sno,district,mandal,village,lat_gis,long_gis,gwl,season,,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
29,HYDERABAD,Ameerpet,S.R.Nagar,17.442333,78.443916,10.9,Post-monsoon 2020,,7.61,1271,813.44,0,320,160,1.2,57.1341,19.25,101.23,1.44,96,38.896,399.9342105,2.200833171,C3S1,-1.598684211,P.S.
30,HYDERABAD,Asifnagar,Himayanagar,17.397638,78.44525,1.8,Post-monsoon 2020,,7.95,443,283.52,0,150,50,0.34,2.83456,12.75,30.74,4.73,48,9.724,159.9835526,1.056667522,C2S1,-0.199671053,P.S.
31,HYDERABAD,Asifnagar,Kulsanapur,17.374,78.437,1.21,Post-monsoon 2020,,8.33,1625,1040,10,370,190,0.91,162.1014,34,193.6,24.9,88,38.896,379.9342105,4.318404469,C3S1,0.001315789,P.S.
32,HYDERABAD,Bandlaguda,Chandraingutta,17.333,78.484,7.04,Post-monsoon 2020,,8.32,557,356.48,10,140,80,0.45,2.43595,16.75,56.79,2.56,40,14.586,159.9753289,1.952169516,C2S1,-0.199506579,P.S.
33,HYDERABAD,Charminar,Darul Shifa,17.381,78.485,3.92,Post-monsoon 2020,,8.18,907,580.48,0,160,160,0.37,48.719,19,70.19,13.62,56,34.034,279.9424342,1.823950463,C3S1,-2.398848684,P.S.
34,HYDERABAD,Maredpally,Maredpally(s),17.441,78.509,5.65,Post-monsoon 2020,,7.88,1555,995.2,0,370,140,1.4,190.447,41.5,88,1.64,184,24.31,559.9588816,1.616876196,C3S1,-3.799177632,P.S.
35,HYDERABAD,Nampally,Nampally,17.385,78.474,2.06,Post-monsoon 2020,,8,1549,991.36,0,450,170,1.14,54.4767,26,119,7.7,64,82.654,499.8601974,2.314167804,C3S1,-0.997203947,P.S.
36,HYDERABAD,Saidabad,Juvinile home,17.361,78.508,2.06,Post-monsoon 2020,,8.35,1205,771.2,10,340,140,0.95,50.0477,25,114,8.38,88,34.034,359.9424342,2.612525214,C3S1,-0.198848684,P.S.
37,JAGITYAL,Dharmapuri,Dharmapuri,18.946944,79.101944,4.84,Post-monsoon 2020,,7.67,810,518.4,0,270,40,0.45,40.86759091,51.25,15,2,32,72.93,379.8766447,0.334612473,C3S1,-2.197532895,P.S.
38,JAGITYAL,Gollapalli,Gollapalli,18.7906,79.0522,3.3,Post-monsoon 2020,,7.09,817,522.88,0,200,110,1,45.90054545,13.25,29,6,56,48.62,339.9177632,0.683885242,C3S1,-2.798355263,P.S.
39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898611,78.579444,3.41,Post-monsoon 2020,,7.12,847,542.08,0,200,110,0.47,45.69922727,14.25,30,3,48,53.482,339.9095395,0.70747605,C3S1,-2.798190789,P.S.
40,JAGITYAL,Jagityal,Jagityal,18.8252,78.8461,5.1,Post-monsoon 2020,,8.31,395,252.8,20,130,50,0.24,6.442181818,13.5,25,5,32,24.31,179.9588816,0.810262109,C2S1,-0.599177632,P.S.
41,JAGITYAL,Kathalapur,Kathalapur,18.752777,78.689722,1.68,Post-monsoon 2020,,7.99,1156,739.84,0,220,250,2.19,3.221090909,9.25,33,1,32,106.964,519.8190789,0.629303281,C3S1,-5.996381579,P.S.
42,JAGITYAL,Kodimal,Chepial,18.624722,78.935833,3.92,Post-monsoon 2020,,8.01,774,495.36,0,330,80,1.29,20.13181818,38.25,28,2,40,82.654,439.8601974,0.580460756,C3S1,-2.197203947,P.S.
43,JAGITYAL,Korutla,Korutla,18.818611,78.706388,5.75,Post-monsoon 2020,,8.3,455,291.2,30,150,50,0.33,7.046136364,17,23,4,72,9.724,219.9835526,0.674225066,C2S1,-0.799671053,P.S.
44,JAGITYAL,Mallapur,Mallapur,18.9647,78.7064,5.59,Post-monsoon 2020,,7.85,708,453.12,0,120,120,0.84,43.88736364,11,24,5,64,29.172,279.9506579,0.623652488,C2S1,-3.199013158,P.S.
45,JAGITYAL,Mallial,Nukapalli,18.7094,78.9222,3.57,Post-monsoon 2020,,7.93,1599,1023.36,0,120,400,0.35,43.68604545,67.25,51,5,120,92.378,679.84375,0.85042846,C3S1,-11.196875,P.S.
46,JAGITYAL,Metpalli,Metpalli,18.847777,78.620555,13.53,Post-monsoon 2020,,7.64,866,554.24,0,300,100,1.47,12.88436364,26,37,2,56,63.206,399.8930921,0.804455337,C3S1,-1.997861842,P.S.
47,JAGITYAL,Pegadapalli,Pegadapalli,18.706388,79.064444,2.65,Post-monsoon 2020,,8.31,809,517.76,10,110,120,0.79,43.48472727,23.75,23,1,40,48.62,299.9177632,0.577429418,C3S1,-3.598355263,P.S.
48,JAGITYAL,Raikal,Raikal,18.910338,78.802852,1.36,Post-monsoon 2020,,8.31,519,332.16,20,120,80,0.38,26.17136364,18.25,24,2,64,19.448,239.9671053,0.673608486,C2S1,-1.999342105,P.S.
49,JAGITYAL,Sarangapur,Sarangapur,18.929722,78.958055,3.36,Post-monsoon 2020,,7.72,842,538.88,0,300,60,1.48,23.35290909,9.75,25,4,8,82.654,359.8601974,0.572987656,C3S1,-1.197203947,P.S.
50,JAGITYAL,Velgatur,Velgatur,18.8353,79.1697,3.27,Post-monsoon 2020,,8.32,1490,953.6,20,310,200,2.14,13.48831818,33.75,94,17,40,82.654,439.8601974,1.94868968,C3S1,-2.197203947,P.S.
51,JANGAON,Bachannapet,Bachannapet,17.7908,79.0422,1.3,Post-monsoon 2020,,7.32,537,343.68,0,200,50,0.74,10.06590909,12,54,11,64,9.724,200,1.660232015,C2S1,0.000328947,P.S.
52,JANGAON,Devaruppula,Singarajupalli,17.5919,79.2738,2.88,Post-monsoon 2020,,7.29,1490,953.6,0,440,170,0.86,128.0383636,20.25,135,15,80,102.102,620,2.357602488,C3S1,-3.596546053,P.S.
53,JANGAON,Jangaon,Jangaon,17.6973,79.1474,2.18,Post-monsoon 2020,,7.09,1585,1014.4,0,390,70,0.82,142.1306364,26,85,5,136,53.482,560,1.56182423,C3S1,-3.398190789,P.S.
54,JANGAON,Lingala ghanpur,Lingala ghanpur,17.6591,79.1997,3.18,Post-monsoon 2020,,7.2,1532,980.48,0,320,90,0.48,136.6950455,34.5,166,57,96,9.724,280,4.313342972,C3S1,0.800328947,P.S.
55,JANGAON,Palakurthi,Palakurthi,17.6691,79.4225,4.3,Post-monsoon 2020,,7.4,736,471.04,0,340,60,1.11,0.805272727,5.75,110,4,48,24.31,219.9753289,3.224735494,C2S1,2.400822368,MR
56,JANGAON,Raghunadhapalli,Raghunadhapalli,17.7647,79.2636,4.09,Post-monsoon 2020,,7.27,2065,1321.6,0,660,240,1.39,82.33913636,31.75,254,12,56,126.412,660,4.299364558,C3S1,0.004276316,P.S.
57,JANGAON,Zafergad,Zafergad,17.7651,79.487,2.86,Post-monsoon 2020,,7.51,1690,1081.6,0,220,360,0.25,34.82804545,44.25,125,8,72,116.688,659.8026316,2.115802643,C3S1,-8.796052632,P.S.
58,JOGULAMBA(GADWAL),Alampur,Alampur,15.896441,78.121104,2.31,Post-monsoon 2020,,8.16,1802,1153.28,0,160,380,0.95,69.0924,96,202,4,80,48.62,399.9177632,4.391755826,C3S1,-4.798355263,P.S.
59,JOGULAMBA(GADWAL),Dharoor,Dharoor,16.224385,77.678908,2.4,Post-monsoon 2020,,7.65,2134,1365.76,0,280,400,0.39,173.1739,63,86,7,232,68.068,859.8848684,1.275118251,C3S1,-11.59769737,P.S.
60,JOGULAMBA(GADWAL),Dharoor,Neelahally,16.265211,77.641794,0.8,Post-monsoon 2020,,7.84,2486,1591.04,0,310,500,0.92,120.9117,81,255,1.7,144,72.93,659.8766447,4.315995326,C4S1,-6.997532895,P.S.
61,JOGULAMBA(GADWAL),Gadwal,Gadwal,16.2326,77.8021,0.88,Post-monsoon 2020,,7.59,9499,6079.36,0,500,2480,0.74,119.583,216,732,4.7,640,457.028,3479.226974,5.395626316,C4S1,-59.58453947,P.S.
62,JOGULAMBA(GADWAL),Gattu,Gattu,16.1287,77.5757,2.26,Post-monsoon 2020,,7.72,915,585.6,0,140,150,0.64,80.1649,35,47,1,112,19.448,359.9671053,1.077056818,C3S1,-4.399342105,P.S.
63,JOGULAMBA(GADWAL),Ieeza,Ieeza,16.01518,77.671609,17.45,Post-monsoon 2020,,8.37,3491,2234.24,20,800,570,1.23,114.2682,38,630,8.3,56,68.068,419.8848684,13.36742024,C4S1,8.002302632,U.S.
65,JOGULAMBA(GADWAL),K-T Doddi,Kuchinerla,16.179,77.526,1.23,Post-monsoon 2020,,7.84,760,486.4,0,180,50,0.42,124.4549,31,39,1,104,9.724,299.9835526,0.979012076,C3S1,-2.399671053,P.S.
66,JOGULAMBA(GADWAL),Maldakal,Maldakal,16.129667,77.687599,0.75,Post-monsoon 2020,,8.18,2092,1338.88,0,410,330,0.87,93.4519,64,191,5.9,160,43.758,579.9259868,3.448412782,C3S1,-3.398519737,P.S.
67,JOGULAMBA(GADWAL),Manopad,Manopad,15.9656,77.9533,1.89,Post-monsoon 2020,,7.36,1588,1016.32,0,260,280,0.95,92.5661,51,99,2,96,68.068,519.8848684,1.887790386,C3S1,-5.197697368,P.S.
68,JOGULAMBA(GADWAL),Waddepalli,Santhinagar,15.94,77.839,0.82,Post-monsoon 2020,,7.8,3325,2128,0,420,580,1.16,335.7182,106,513,1,112,92.378,659.84375,8.682983493,C4S1,-4.796875,P.S.
69,KAMAREDDY,Bansawada,Bansawada,18.393,77.879,3.95,Post-monsoon 2020,,7.95,1723,1102.72,0,550,110,4.18,5.93486,138,345,1.8,16,29.172,159.9506579,11.86037017,C3S3,7.800986842,U.S.
70,KAMAREDDY,Bhiknoor,Bhiknoor,18.196,78.399,2.11,Post-monsoon 2020,,7.69,1334,853.76,0,410,150,0.87,30.47152,16,94,3.34,120,38.896,459.9342105,1.905689585,C3S1,-0.998684211,P.S.
71,KAMAREDDY,Bhiknoor,P.D.Mallareddy,18.173,78.453,12.51,Post-monsoon 2020,,7.44,1030,659.2,0,340,70,0.85,54.29954,26,54.33,2.07,128,19.448,399.9671053,1.181135524,C3S1,-1.199342105,P.S.
72,KAMAREDDY,Bibipet,Bibipet,18.205,78.523,12.23,Post-monsoon 2020,,7.45,1079,690.56,0,320,120,0.75,47.70033,12,28.53,1.86,128,38.896,479.9342105,0.566217231,C3S1,-3.198684211,P.S.
73,KAMAREDDY,BICHKUNDA,Pulkal,18.399,77.767,3.17,Post-monsoon 2020,,7.66,1422,910.08,0,350,210,0.81,42.0755,24,97,4.18,184,9.724,499.9835526,1.886105751,C3S1,-2.999671053,P.S.
74,KAMAREDDY,Domakonda,Domakonda,18.25,78.436,17.17,Post-monsoon 2020,,7.26,1879,1202.56,0,410,260,0.86,150.80745,16,65.7,3.71,192,72.93,779.8766447,1.022879739,C3S1,-7.397532895,P.S.
75,KAMAREDDY,Gandhari,Gandhari,18.396,78.107,11.35,Post-monsoon 2020,,7.66,919,588.16,0,390,30,0.91,37.07073,10,28.51,2.34,144,14.586,419.9753289,0.604863658,C3S1,-0.599506579,P.S.
76,KAMAREDDY,Gandhari,Sarvapoor,18.3647,77.9851,7.65,Post-monsoon 2020,,7.63,1561,999.04,0,470,160,1.52,69.9782,20,145.7,2.6,152,19.448,459.9671053,2.953713233,C3S1,0.200657895,P.S.
77,KAMAREDDY,Jukkal,Jukkal,18.364,77.604,3.27,Post-monsoon 2020,,7.74,2383,1525.12,0,550,430,2.1,10.89534,41,260,16.3,136,58.344,579.9013158,4.694274319,C4S2,-0.598026316,P.S.
78,KAMAREDDY,Kamareddy,Adloor,18.3438,78.3435,12.9,Post-monsoon 2020,,7.65,717,458.88,0,320,20,1.57,21.12633,5,53.96,1.77,88,9.724,259.9835526,1.455027387,C2S1,1.200328947,P.S.
79,KAMAREDDY,Kamareddy,Narasannapally,18.2686,78.3617,12.96,Post-monsoon 2020,,8.36,458,293.12,20,120,50,0.32,7.21927,10,30.58,4.24,40,14.586,159.9753289,1.051194643,C2S1,-0.399506579,P.S.
80,KAMAREDDY,Lingampet,Bhavanipet,18.2791,78.058,5.08,Post-monsoon 2020,,7.69,1163,744.32,0,380,100,1.39,51.02208,19,96,3.94,112,24.31,379.9588816,2.141288067,C3S1,0.1,P.S.
81,KAMAREDDY,Machareddy,Machareddy,18.329,78.493,6.02,Post-monsoon 2020,,7.75,1589,1016.96,0,370,250,0.58,59.57005,18,60.76,2,184,48.62,659.9177632,1.028359631,C3S1,-5.798355263,P.S.
82,KAMAREDDY,Maddnur,Menoor,18.483,77.652,3.06,Post-monsoon 2020,,7.06,1150,736,0,290,160,0.46,83.17662,18,57,7.99,160,14.586,459.9753289,1.155526076,C3S1,-3.399506579,P.S.
83,KAMAREDDY,Nagireddipet,Malthummeda,18.114,78.142,10.85,Post-monsoon 2020,,7.53,963,616.32,0,400,50,0.96,16.60875,13,54,2.53,80,43.758,379.9259868,1.204526679,C3S1,0.401480263,P.S.
84,KAMAREDDY,Nasurullabad,Nasurullabad,18.468,77.873,1.89,Post-monsoon 2020,,7.89,946,605.44,0,340,70,1.56,15.63437,17,72.92,1.6,16,68.068,319.8848684,1.772645838,C3S1,0.402302632,P.S.
85,KAMAREDDY,Nizamsagar,Mohammadnagar,18.293098,77.908661,2.06,Post-monsoon 2020,,7.38,2153,1377.92,0,420,300,1.86,233.45259,46,234,3.6,128,63.206,579.8930921,4.224876844,C3S1,-3.197861842,P.S.
86,KAMAREDDY,Rajampet,Argonda,18.234,78.272,3.07,Post-monsoon 2020,,7.5,815,521.6,0,360,30,0.85,21.08204,12,35.27,1.33,96,29.172,359.9506579,0.808269401,C3S1,0.01,P.S.
87,KAMAREDDY,RAMAREDDY,Reddypet,18.409,78.417,8.2,Post-monsoon 2020,,7.31,650,416,0,160,100,0.51,20.55056,11,41.68,2.02,80,9.724,239.9835526,1.169793315,C2S1,-1.599671053,P.S.
88,KAMAREDDY,Sadasivanagar,Sadasivanagar,18.406,78.264,5.36,Post-monsoon 2020,,7.47,690,441.6,0,260,40,1.48,39.50668,11,31.03,2.25,72,29.172,299.9506579,0.778984884,C2S1,-0.799013158,P.S.
89,KAMAREDDY,Tadwai,Yerrapahad,18.293,78.223,1.47,Post-monsoon 2020,,7.94,1348,862.72,0,450,110,0.45,39.59526,39,48,8.49,96,82.654,579.8601974,0.866665985,C3S1,-2.597203947,P.S.
90,KARIMNAGAR,Choppadandi,Rukmapur,18.5334,79.1461,6.48,Post-monsoon 2020,,8.2,480,307.2,0,120,60,0.28,13.287,18.75,34,2,40,14.586,159.9753289,1.168757942,C2S1,-0.799506579,P.S.
91,KARIMNAGAR,Gangadhara,Gangadhara,18.579444,79.008888,11.03,Post-monsoon 2020,,8.08,890,569.6,0,280,90,0.82,31.60695455,16.75,70,2,72,29.172,299.9506579,1.757297514,C3S1,-0.399013158,P.S.
92,KARIMNAGAR,Huzurabad,Huzurabad,18.189488,79.407573,0.81,Post-monsoon 2020,,7.85,877,561.28,0,230,120,0.7,55.76513636,14,82,4,72,24.31,279.9588816,2.130781372,C3S1,-0.999177632,P.S.
93,KARIMNAGAR,Saidapur,Saidapur,18.2148,79.305174,2.85,Post-monsoon 2020,,8.19,1275,816,0,250,120,2.16,68.24686364,28.5,120,4,64,24.31,259.9588816,3.235944617,C3S1,-0.199177632,P.S.
94,KARIMNAGAR,Thimmapur,Alugunur,18.400873,79.151234,2.68,Post-monsoon 2020,,8.28,709,453.76,0,170,100,0.73,19.52786364,23.25,70,2,56,14.586,199.9753289,2.152196863,C2S1,-0.599506579,P.S.
95,KHAMMAM,Bonakal,Mustikunta,17.040809,80.223141,1.8,Post-monsoon 2020,,8.26,1720,1100.8,0,220,320,0.48,163.873,43.75,170.3,6.5,80,68.068,479.8848684,3.380012325,C3S1,-5.197697368,P.S.
96,KHAMMAM,Kallur,Kallur,17.21,80.5467,1.94,Post-monsoon 2020,,7.71,1152,737.28,0,290,150,0.73,67.3208,18,86,14.61,32,72.93,379.8766447,1.918444848,C3S1,-1.797532895,P.S.
97,KHAMMAM,Kamepalli,Kothalingala,17.429453,80.237801,1.96,Post-monsoon 2020,,7.73,3382,2164.48,0,100,780,0.2,471.6885,35,330,7.1,208,92.378,899.84375,4.783023907,C4S2,-15.996875,P.S.
98,KHAMMAM,Khammam (R ),M.V.Palem,17.2967,80.0969,2.58,Post-monsoon 2020,,8.55,923,590.72,30,170,80,0.77,104.0815,64,65.78,4.5,24,63.206,319.8930921,1.599055738,C3S1,-2.397861842,P.S.
99,KHAMMAM,Khammam(U),Khammam I,17.2333,80.1333,0.5,Post-monsoon 2020,,7.02,525,336,0,180,50,0.77,1.55015,9.5,56,3.47,24,19.448,139.9671053,2.058008673,C2S1,0.800657895,P.S.
100,KHAMMAM,Khammam(U),Khammam-II,17.2525,80.1436,0.8,Post-monsoon 2020,,7.67,983,629.12,0,280,130,1.15,0.13287,22.75,86.68,5.99,48,43.758,299.9259868,2.176125902,C3S1,-0.398519737,P.S.
101,KHAMMAM,Konijerla,Konijerla,17.2211,80.2908,1.39,Post-monsoon 2020,,8.43,1303,833.92,10,150,290,0.57,77.9504,19.75,95.46,3.32,48,77.792,439.8684211,1.978938063,C3S1,-5.597368421,P.S.
102,KHAMMAM,Kusumanchi,Kusumanchi,17.2208,79.9583,2.73,Post-monsoon 2020,,8.67,552,353.28,20,140,70,0.27,4.78332,15,52.93,3.11,40,14.586,159.9753289,1.819481114,C2S1,0.000493421,P.S.
103,KHAMMAM,Mudigonda,Mudigonda,17.1875,80.0986,0.81,Post-monsoon 2020,,7.81,1030,659.2,0,350,80,0.75,31.66735,18,57,16.73,56,53.482,359.9095395,1.3063223,C3S1,-0.198190789,P.S.
104,KHAMMAM,Sathupalli,Prakashnagar,17.1942,80.8942,31.83,Post-monsoon 2020,,8.4,766,490.24,40,260,50,0.9,10.23099,3,23.08,6.81,88,24.31,319.9588816,0.560997445,C3S1,-0.399177632,P.S.
105,KHAMMAM,Thallada,Anjanapuram,17.2147,80.4625,1.37,Post-monsoon 2020,,9.04,2615,1673.6,50,850,170,7.7,59.7915,83,560,6.5,16,4.862,59.99177632,31.43506266,C4S4,16.80016447,U.S.
106,KHAMMAM,Thirumalayapalem,Bachode,17.2997,79.9006,1.05,Post-monsoon 2020,,8.36,917,586.88,20,300,80,0.6,10.27528,14,90.01,8.17,32,43.758,259.9259868,2.427381708,C3S1,1.201480263,P.S.
107,KHAMMAM,Thirumalayapalem,Tirumalayapalem,17.317454,80.050896,1.28,Post-monsoon 2020,,8.07,2903,1857.92,0,270,320,1.16,797.22,46,238.7,8.1,96,155.584,879.7368421,3.499034246,C4S1,-12.19473684,P.S.
108,KHAMMAM,Vemsur,Vemsur,17.1442,80.805,1.35,Post-monsoon 2020,,8.5,660,422.4,30,160,80,0.35,18.46893,5,56,4.07,56,14.586,199.9753289,1.721757491,C2S1,-0.199506579,P.S.
109,KHAMMAM,Yerrupalem,Banigandlapadu,16.86,80.48,4.11,Post-monsoon 2020,,8.58,1560,998.4,10,380,110,1.21,349.4481,19.5,78.63,0.55,40,140.998,679.7615132,1.311239893,C3S1,-5.795230263,P.S.
110,KUMURAM BHEEM,Asifabad,Asifabad,19.359617,79.286065,17.19,Post-monsoon 2020,,7.98,916,586.24,0,360,60,1.26,22.145,22.75,129,8,64,9.724,199.9835526,3.966109813,C3S1,3.200328947,U.S.
111,KUMURAM BHEEM,Kagaznagar,Kagaznagar,19.355709,79.496997,3.82,Post-monsoon 2020,,8.32,699,447.36,20,260,50,0.93,38.85440909,12,96,7,56,9.724,179.9835526,3.111193244,C2S1,2.000328947,MR
112,KUMURAM BHEEM,Kerameri,Kerameri,19.444,79.05625,8.84,Post-monsoon 2020,,7.11,681,435.84,0,220,40,0.27,45.49790909,6,80,5,48,4.862,139.9917763,2.939753316,C2S1,1.600164474,MR
113,KUMURAM BHEEM,Kowthala,Kowthala,19.5219,79.7324,3.65,Post-monsoon 2020,,7.09,356,227.84,0,80,30,0.29,13.48831818,3.25,7,2,24,14.586,119.9753289,0.277858847,C2S1,-0.799506579,P.S.
114,KUMURAM BHEEM,Rebbena,Rebbena II,19.257,79.415972,5.78,Post-monsoon 2020,,7.67,777,497.28,0,300,70,1.66,13.287,10.25,102,4,72,4.862,199.9917763,3.135929329,C3S1,2.000164474,MR
115,KUMURAM BHEEM,Tiryani,Tiryani,19.174472,79.27225,,Post-monsoon 2020,,7.98,594,380.16,0,240,40,0.68,12.48172727,4.5,23,3,80,14.586,259.9753289,0.620203099,C2S1,-0.399506579,P.S.
116,MAHABUBABAD,Dhantalapally,Dhantalapally,17.5147,79.7347,1.02,Post-monsoon 2020,,7.88,1798,1150.72,0,390,240,1.58,87.97604545,24.5,172,5,64,77.792,479.8684211,3.413811408,C3S1,-1.797368421,P.S.
