sno,district,mandal,village,lat_gis,long_gis,gwl,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
28,BHUPALPALLY,Regonda,Regonda,18.24,79.7775,8.77,postmonsoon 2018 ,7.94,1452,929.28,0,260,190,1.04,121.3948636,88,156,1,48,63.206,379.8930921,3.479894391,C3S1,-2.397861842,P.S.
29,HYDERABAD,Ameerpet,S.R.Nagar,17.442333,78.443916,17.95,postmonsoon 2018 ,7.07,819,524.16,0,274.9990597,60,1.56,37.42505,15,33.18059628,1.17,104,19.448,339.9671053,0.782416322,C3S1,-1.299360911,P.S.
30,HYDERABAD,Asifnagar,Himayanagar,17.397638,78.44525,4.83,postmonsoon 2018 ,7.17,1149,735.36,0,215.6713142,220,2.49,22.167145,24,164.4849717,2.1,72,9.724,219.9835526,4.821734384,C3S1,-0.086244769,P.S.
31,HYDERABAD,Asifnagar,Kulsanapur,17.374,78.437,6.18,postmonsoon 2018 ,7.26,1194,764.16,0,366.7292285,110,1.08,58.68425,21,101.9418385,16.74,96,29.172,359.9506579,2.336162993,C3S1,0.135571412,P.S.
32,HYDERABAD,Bandlaguda,Chandraingutta,17.333,78.484,9.78,postmonsoon 2018 ,7.05,1445,924.8,0,398.6932882,170,0.841,52.7051,33,94.40207972,3.56,160,29.172,519.9506579,1.800000642,C3S1,-2.425147394,P.S.
33,HYDERABAD,Charminar,Darul Shifa,17.381,78.485,5.65,postmonsoon 2018 ,7.58,779,498.56,0,275.0978692,60,0.794,10.164555,17,57.11590859,22.89,56,24.31,239.9588816,1.603100831,C3S1,0.702779753,P.S.
34,HYDERABAD,Maredpally,Maredpally(s),17.441,78.509,,postmonsoon 2018 ,6.96,1379,882.56,0,316.4927306,160,1.6,118.6972,43,80.16061447,1.7,168,24.31,519.9588816,1.528441078,C3S1,-4.069323019,P.S.
35,HYDERABAD,Nampally,Nampally,17.385,78.474,2.41,postmonsoon 2018 ,8.38,1231,787.84,40,346.3307385,120,1.23,38.31085,22,105.3718166,9.9,80,43.758,379.9259868,2.35042897,C3S1,0.128095032,P.S.
36,HYDERABAD,Saidabad,Juvinile home,17.361,78.508,4.43,postmonsoon 2018 ,7.48,839,536.96,0,227.687161,90,0.835,52.04075,18,78.69718452,9.89,64,19.448,239.9671053,2.20879547,C3S1,-0.245598886,P.S.
37,JAGITYAL,Dharmapuri,Dharmapuri,18.946944,79.101944,5.32,postmonsoon 2018 ,8.2,2227,1425.28,0,140,520,0.55,39.45836364,248,282,10,88,77.792,539.8684211,5.276881116,C3S1,-7.997368421,P.S.
38,JAGITYAL,Gollapalli,Gollapalli,18.7906,79.0522,4.44,postmonsoon 2018 ,8.27,776,496.64,0,100,150,0.91,63.21390909,73,85,6,24,48.62,259.9177632,2.292308735,C3S1,-3.198355263,P.S.
39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898611,78.579444,3.21,postmonsoon 2018 ,7.97,1140,729.6,0,190,110,1.53,77.30618182,148,135,7,40,38.896,259.9342105,3.640610452,C3S1,-1.398684211,P.S.
40,JAGITYAL,Jagityal,Jagityal,18.8252,78.8461,9.19,postmonsoon 2018 ,7.99,624,399.36,0,100,100,0.27,45.09527273,68,92,1,24,19.448,139.9671053,3.381014248,C2S1,-0.799342105,P.S.
41,JAGITYAL,Kathalapur,Kathalapur,18.752777,78.689722,7.57,postmonsoon 2018 ,7.92,1027,657.28,0,180,140,0.91,41.67286364,124,107,6,64,34.034,299.9424342,2.686191595,C3S1,-2.398848684,P.S.
42,JAGITYAL,Kodimal,Chepial,18.624722,78.935833,10.35,postmonsoon 2018 ,8.07,564,360.96,0,140,50,0.49,5.234272727,60,70,2,40,19.448,179.9671053,2.268682068,C2S1,-0.799342105,P.S.
43,JAGITYAL,Korutla,Korutla,18.818611,78.706388,6.08,postmonsoon 2018 ,8.21,1083,693.12,0,190,170,1.31,62.40863636,119,30,2,56,97.24,539.8355263,0.561387435,C3S1,-6.996710526,P.S.
44,JAGITYAL,Mallapur,Mallapur,18.9647,78.7064,6.42,postmonsoon 2018 ,8.19,973,622.72,0,200,100,1.15,62.81127273,100,165,14,48,5,120,6.548856666,C3S1,1.6,MR
45,JAGITYAL,Mallial,Nukapalli,18.7094,78.9222,8.53,postmonsoon 2018 ,8.33,1458,933.12,80,380,240,2.43,18.31995455,115,202,14,80,48.62,399.9177632,4.391755826,C3S1,1.201644737,P.S.
46,JAGITYAL,Metpalli,Metpalli,18.847777,78.620555,13.53,postmonsoon 2018 ,8.12,1234,789.76,0,310,140,2.89,22.74895455,86,165,45,24,34.034,199.9424342,5.073452757,C3S1,2.201151316,MR
47,JAGITYAL,Pegadapalli,Pegadapalli,18.706388,79.064444,3.47,postmonsoon 2018 ,8.17,1265,809.6,0,310,120,2.4,46.5045,41,200,13,24,38.896,219.9342105,5.863484282,C3S1,1.801315789,MR
48,JAGITYAL,Raikal,Raikal,18.910338,78.802852,2.7,postmonsoon 2018 ,7.97,742,474.88,0,90,120,1.22,43.68604545,100,52,4,64,29.172,279.9506579,1.351247058,C2S1,-3.799013158,P.S.
49,JAGITYAL,Sarangapur,Sarangapur,18.929722,78.958055,4.55,postmonsoon 2018 ,8.17,1087,695.68,0,140,150,2.25,82.54045455,122,112,2,56,38.896,299.9342105,2.811753112,C3S1,-3.198684211,P.S.
50,JAGITYAL,Velgatur,Velgatur,18.8353,79.1697,3.95,postmonsoon 2018 ,8.34,1057,676.48,50,200,150,0.71,62.81127273,115,114,4,56,58.344,379.9013158,2.542972223,C3S1,-2.598026316,P.S.
51,JANGAON,Bachannapet,Bachannapet,17.7908,79.0422,15.18,postmonsoon 2018 ,8.34,550,352,30,160,30,1.55,24.76213636,44,61,8,16,29.172,159.9506579,2.097050957,C2S1,0.600986842,P.S.
52,JANGAON,Devaruppula,Singarajupalli,17.5919,79.2738,10.95,postmonsoon 2018 ,8.07,1664,1064.96,0,230,230,0.65,177.16,152,188,8,80,58.344,439.9013158,3.897197208,C3S1,-4.198026316,P.S.
53,JANGAON,Jangaon,Jangaon,17.6973,79.1474,8.02,postmonsoon 2018 ,8.27,923,590.72,0,210,110,0.81,72.87718182,85,114,6,48,34.034,259.9424342,3.07424464,C3S1,-0.998848684,P.S.
54,JANGAON,Lingala ghanpur,Lingala ghanpur,17.6591,79.1997,10.15,postmonsoon 2018 ,8.45,1053,673.92,50,220,110,0.37,46.30318182,90,133,7,48,34.034,259.9424342,3.586618747,C3S1,0.201151316,P.S.
55,JANGAON,Palakurthi,Palakurthi,17.6691,79.4225,17.95,postmonsoon 2018 ,8.23,307,196.48,0,130,20,1.21,5.435590909,27,42,2,8,19.448,99.96710526,1.826387374,C2S1,0.600657895,P.S.
56,JANGAON,Raghunadhapalli,Raghunadhapalli,17.7647,79.2636,34.85,postmonsoon 2018 ,8.33,1280,819.2,30,270,150,1.36,43.08209091,105,136,3,56,53.482,359.9095395,3.116839172,C3S1,-1.198190789,P.S.
57,JANGAON,Zafergad,Zafergad,17.7651,79.487,12.06,postmonsoon 2018 ,8.14,1857,1188.48,0,260,340,0.2,26.574,171,214,12,80,63.206,459.8930921,4.338678745,C3S1,-3.997861842,P.S.
58,JOGULAMBA(GADWAL),Alampur,Alampur,15.896441,78.121104,3.09,postmonsoon 2018 ,8.52,3290,2105.6,40,430.7977641,720,0.65,1.06296,136,714.8001947,5.9,32,4.862,99.99177632,31.0795473,C4S4,7.416119755,U.S.
59,JOGULAMBA(GADWAL),Dharoor,Dharoor,16.224385,77.678908,24.01,postmonsoon 2018 ,7.98,2000,1280,0,356.3603859,340,2.52,149.92165,32,92.84248259,6.6,56,160.446,799.7286184,1.427406237,C3S1,-8.867364649,P.S.
60,JOGULAMBA(GADWAL),Dharoor,Neelahally,16.265211,77.641794,21.17,postmonsoon 2018 ,7.72,2120,1356.8,0,382.9369833,390,1.04,21.812825,95,196.2029156,3.3,112,87.516,639.8519737,3.372390552,C3S1,-5.138299807,P.S.
61,JOGULAMBA(GADWAL),Gadwal,Gadwal,16.2326,77.8021,4.58,postmonsoon 2018 ,7.69,2890,1849.6,0,414.942978,600,0.45,68.2066,110,218.734442,3.3,120,165.308,979.7203947,3.038353229,C4S1,-11.29554833,P.S.
62,JOGULAMBA(GADWAL),Gattu,Gattu,16.1287,77.5757,4.88,postmonsoon 2018 ,8.3,1304,834.56,20,275.9653557,190,0.616,77.9504,18,44.22634977,1.89,184,24.31,559.9588816,0.812596957,C3S1,-5.279870517,P.S.
63,JOGULAMBA(GADWAL),Ieeza,Ieeza,16.01518,77.671609,21.05,postmonsoon 2018 ,8.4,2780,1779.2,40,664.1472968,370,0.719,134.6416,40,568.3305615,6.6,24,24.31,159.9588816,19.53750018,C4S4,10.8837683,U.S.
64,JOGULAMBA(GADWAL),K-T Doddi,Kondapur,16.0701,77.8315,4.23,postmonsoon 2018 ,7.92,1266,810.24,0,193.934322,180,0.46,183.13915,30,100.0220632,1.53,104,38.896,419.9342105,2.122156188,C3S1,-4.519997771,P.S.
65,JOGULAMBA(GADWAL),K-T Doddi,Kuchinerla,16.179,77.526,9.09,postmonsoon 2018 ,7.98,583,373.12,0,198.3671489,30,0.95,46.5045,10,24.83216741,0.37,56,24.31,239.9588816,0.696976888,C2S1,-0.831834654,P.S.
66,JOGULAMBA(GADWAL),Maldakal,Maldakal,16.129667,77.687599,3.5,postmonsoon 2018 ,7.91,1649,1055.36,0,300.5375921,260,3.08,153.90775,24,106.2358424,1.56,48,116.688,599.8026316,1.885988528,C3S1,-5.98530079,P.S.
67,JOGULAMBA(GADWAL),Manopad,Manopad,15.9656,77.9533,13.95,postmonsoon 2018 ,7.81,3380,2163.2,0,575.9846386,570,0.88,154.5721,162,589.2740193,51.6,32,68.068,359.8848684,13.50540662,C4S3,4.321995404,U.S.
68,JOGULAMBA(GADWAL),Waddepalli,Santhinagar,15.94,77.839,6.65,postmonsoon 2018 ,8.24,3260,2086.4,0,553.2378092,550,0.99,126.00505,176,409.5295499,12.7,80,131.274,739.7779605,6.546462941,C4S2,-3.730803026,P.S.
69,KAMAREDDY,Bansawada,Bansawada,18.393,77.879,4.5,postmonsoon 2018 ,8.21,1685,1078.4,0,489.7614248,80,4.9,108.5105,138.25,279.7578626,2.2,40,34.034,239.9424342,7.852373252,C3S1,4.996379813,U.S.
70,KAMAREDDY,Bhiknoor,Bhiknoor,18.196,78.399,22.39,postmonsoon 2018 ,8.04,1509,965.76,0,368.4292466,200,1.16,92.5661,21,87.94870116,8.57,120,63.206,559.8930921,1.616028589,C3S1,-3.829276909,P.S.
71,KAMAREDDY,Bhiknoor,P.D.Mallareddy,18.173,78.453,32.11,postmonsoon 2018 ,7.48,923,590.72,0,300.8101093,50,1.06,65.1063,31.75,75.48433963,1.63,56,38.896,299.9342105,1.895029704,C3S1,0.017517975,P.S.
72,KAMAREDDY,Bibipet,Bibipet,18.205,78.523,30.83,postmonsoon 2018 ,7.31,1059,677.76,0,235.1172326,150,1.12,80.38635,12.25,33.46075998,1.69,80,63.206,459.8930921,0.678390131,C3S1,-4.49551719,P.S.
73,KAMAREDDY,BICHKUNDA,Pulkal,18.399,77.767,5.32,postmonsoon 2018 ,7.23,1305,835.2,0,249.0475642,220,1.05,77.5075,23.25,79.92125619,4.17,144,29.172,479.9506579,1.586120469,C3S1,-4.618061875,P.S.
74,KAMAREDDY,Domakonda,Domakonda,18.25,78.436,30.32,postmonsoon 2018 ,7.64,1185,758.4,0,272.8950739,170,1.67,70.4211,16.5,107.3902156,3.93,88,34.034,359.9424342,2.461049525,C3S1,-1.740947206,P.S.
75,KAMAREDDY,Gandhari,Gandhari,18.396,78.107,19.82,postmonsoon 2018 ,7.85,980,627.2,0,391.4417759,50,1.74,12.246185,12.75,70.54645356,1.28,40,58.344,339.9013158,1.663684335,C3S1,1.030809203,P.S.
76,KAMAREDDY,Gandhari,Sarvapoor,18.3647,77.9851,14.83,postmonsoon 2018 ,7.79,985,630.4,0,333.3975339,70,1.62,52.97084,12.25,80.46929257,2,64,38.896,319.9342105,1.956014214,C3S1,0.269266468,P.S.
77,KAMAREDDY,Jukkal,Jukkal,18.364,77.604,7.42,postmonsoon 2018 ,7.32,3590,2297.6,0,552.000145,720,2.98,143.9425,90,409.1738344,190.5,112,97.24,679.8355263,6.823042712,C4S1,-2.556707626,P.S.
78,KAMAREDDY,Kamareddy,Adloor,18.3438,78.3435,22.15,postmonsoon 2018 ,7.8,624,399.36,0,189.9100716,60,2.01,34.5462,6.25,42.2707476,2.53,80,4.862,219.9917763,1.239107169,C2S1,-0.601634094,P.S.
79,KAMAREDDY,Kamareddy,Narasannapally,18.2686,78.3617,23.75,postmonsoon 2018 ,7.52,935,598.4,0,306.5545796,80,2.8,33.88185,15.5,77.92151393,2.2,88,19.448,299.9671053,1.956107552,C3S1,0.131749487,P.S.
80,KAMAREDDY,Lingampet,Bhavanipet,18.2791,78.058,7.63,postmonsoon 2018 ,7.45,1218,779.52,0,380.2096233,100,1.34,81.9365,15,106.1481337,3.44,88,38.896,379.9342105,2.367719913,C3S1,0.005508256,P.S.
81,KAMAREDDY,Machareddy,Machareddy,18.329,78.493,12.74,postmonsoon 2018 ,7.2,522,334.08,0,205.3209584,30,0.97,5.602685,6,19.47194868,1.02,64,14.586,219.9753289,0.570813969,C2S1,-0.29308741,P.S.
82,KAMAREDDY,Maddnur,Menoor,18.483,77.652,12.76,postmonsoon 2018 ,7.81,684,437.76,0,231.7319922,40,0.56,50.9335,9,45.93396045,4.37,72,14.586,239.9753289,1.289207307,C2S1,-0.164866735,P.S.
83,KAMAREDDY,Nagireddipet,Malthummeda,18.114,78.142,18.65,postmonsoon 2018 ,7.32,940,601.6,0,328.9507106,80,1.5,17.250955,9.25,51.24898723,2.63,72,43.758,359.9259868,1.174494127,C3S1,-0.619505526,P.S.
84,KAMAREDDY,Nasurullabad,Nasurullabad,18.468,77.873,2.49,postmonsoon 2018 ,7.32,881,563.84,0,353.1889565,40,1.5,14.460685,14.25,65.56554923,1.88,88,19.448,299.9671053,1.645928827,C3S1,1.064437024,P.S.
85,KAMAREDDY,Nizamsagar,Mohammadnagar,18.293098,77.908661,2.82,postmonsoon 2018 ,7.45,639,408.96,0,225.4979664,50,0.6,15.169325,7.75,37.77247864,0.48,64,19.448,239.9671053,1.060160922,C2S1,-0.289382777,P.S.
86,KAMAREDDY,Rajampet,Argonda,18.234,78.272,14.45,postmonsoon 2018 ,7.69,685,438.4,0,293.493258,20,1.37,8.63655,10,47.25617918,2.53,56,24.31,239.9588816,1.326362864,C2S1,1.070687528,P.S.
87,KAMAREDDY,RAMAREDDY,Reddypet,18.409,78.417,15.3,postmonsoon 2018 ,7.32,959,613.76,0,300.531409,100,1.1,39.19665,1.5,65.10218026,2.21,80,34.034,339.9424342,1.535200161,C3S1,-0.788220504,P.S.
88,KAMAREDDY,Sadasivanagar,Sadasivanagar,18.406,78.264,7.89,postmonsoon 2018 ,7.35,600,384,0,171.8470359,60,1.7,35.432,11.5,27.65815402,2.26,80,9.724,239.9835526,0.776255367,C2S1,-1.362730335,P.S.
89,KAMAREDDY,Tadwai,Yerrapahad,18.293,78.223,3.32,postmonsoon 2018 ,8.02,1020,652.8,0,254.9079567,100,0.98,106.7389,22,52.25441718,1.24,80,48.62,399.9177632,1.136082382,C3S1,-2.90019613,P.S.
90,KARIMNAGAR,Choppadandi,Rukmapur,18.5334,79.1461,12.28,postmonsoon 2018 ,8.16,443,283.52,0,160,20,0.29,31.003,32,57,3,16,19.448,119.9671053,2.262642445,C2S1,0.800657895,P.S.
91,KARIMNAGAR,Gangadhara,Gangadhara,18.579444,79.008888,14.9,postmonsoon 2018 ,8.25,722,462.08,0,220,70,1.04,31.40563636,51,89,5,32,29.172,199.9506579,2.736533392,C2S1,0.400986842,P.S.
92,KARIMNAGAR,Huzurabad,Huzurabad,18.189488,79.407573,6.88,postmonsoon 2018 ,8.07,666,426.24,0,180,50,0.74,45.49790909,56,75,4,24,29.172,179.9506579,2.430841869,C2S1,0.000986842,P.S.
93,KARIMNAGAR,Saidapur,Saidapur,18.2148,79.305174,11.68,postmonsoon 2018 ,8.24,872,558.08,0,170,80,1.28,142.3319545,66,114,2,32,34.034,219.9424342,3.342123558,C3S1,-0.998848684,P.S.
94,KARIMNAGAR,Thimmapur,Alugunur,18.400873,79.151234,5.81,postmonsoon 2018 ,8.27,352,225.28,0,120,20,0.87,20.73577273,32,44,4,16,14.586,99.97532895,1.913279506,C2S1,0.400493421,P.S.
95,KHAMMAM,Bonakal,Mustikunta,17.040809,80.223141,1.38,postmonsoon 2018 ,7.25,2430,1555.2,0,416.512779,400,0.66,221.45,42,129.4793928,4.7,48,199.342,939.6628289,1.8364825,C4S1,-10.463001,P.S.
96,KHAMMAM,Kallur,Kallur,17.21,80.5467,2.6,postmonsoon 2018 ,8.25,1014,648.96,0,162.1474986,190,1.14,62.006,21,100.3156578,11,40,43.758,279.9259868,2.606869437,C3S1,-2.355569765,P.S.
97,KHAMMAM,Kamepalli,Kothalingala,17.429453,80.237801,5.63,postmonsoon 2018 ,8.4,940,601.6,40,171.8690718,120,0.83,86.3655,14,84.85990054,8,104,4.862,279.9917763,2.204966748,C3S1,-1.36245409,P.S.
98,KHAMMAM,Khammam (R ),M.V.Palem,17.2967,80.0969,2.85,postmonsoon 2018 ,7.43,2530,1619.2,0,474.2730924,380,1.1,243.595,44,168.6257531,8.8,184,106.964,899.8190789,2.444097167,C4S1,-8.510919731,P.S.
99,KHAMMAM,Khammam(U),Khammam I,17.2333,80.1333,1.05,postmonsoon 2018 ,7.8,1092,698.88,0,405.2368415,80,2.03,12.4012,12,94.36825248,5,56,48.62,339.9177632,2.225415695,C3S1,1.306381567,MR
100,KHAMMAM,Khammam(U),Khammam-II,17.2525,80.1436,2.01,postmonsoon 2018 ,8.17,1435,918.4,0,420.2476493,150,1.18,66.435,24,125.7870809,8.9,24,92.378,439.84375,2.607708184,C3S1,-0.391922015,P.S.
101,KHAMMAM,Konijerla,Konijerla,17.2211,80.2908,2.12,postmonsoon 2018 ,7.75,1100,704,0,293.9329627,130,1.18,57.577,20,60.61068885,3,72,58.344,419.9013158,1.286020128,C3S1,-2.519367062,P.S.
102,KHAMMAM,Kusumanchi,Kusumanchi,17.2208,79.9583,7.9,postmonsoon 2018 ,7.69,1030,659.2,0,231.7532008,130,1.12,93.009,19,35.72279257,2,112,38.896,439.9342105,0.740497673,C3S1,-4.163620195,P.S.
103,KHAMMAM,Mudigonda,Mudigonda,17.1875,80.0986,1.65,postmonsoon 2018 ,7.97,1055,675.2,0,287.2857324,90,1.09,110.725,18,48.39248297,6,72,58.344,419.9013158,1.026777757,C3S1,-2.652311667,P.S.
104,KHAMMAM,Sathupalli,Prakashnagar,17.1942,80.8942,38.25,postmonsoon 2018 ,7.84,695,444.8,0,211.7210458,70,0.88,27.4598,11,40.70985836,2,24,48.62,259.9177632,1.097877222,C2S1,-0.963934346,P.S.
105,KHAMMAM,Thallada,Anjanapuram,17.2147,80.4625,5.61,postmonsoon 2018 ,7.86,1705,1091.2,0,470.8198856,220,1.52,35.432,33,164.0807686,3.5,56,87.516,499.8519737,3.190870214,C3S1,-0.580641762,P.S.
106,KHAMMAM,Thirumalayapalem,Bachode,17.2997,79.9006,3.85,postmonsoon 2018 ,7.7,1725,1104,0,517.0686891,190,0.74,53.148,25,102.3019911,7,40,131.274,639.7779605,1.758496923,C3S1,-2.454185429,P.S.
107,KHAMMAM,Thirumalayapalem,Tirumalayapalem,17.317454,80.050896,2.55,postmonsoon 2018 ,7.75,1412,903.68,0,232.708683,160,0.7,263.5255,27,115.8534108,1,112,43.758,459.9259868,2.348751193,C3S1,-4.544346076,P.S.
108,KHAMMAM,Vemsur,Vemsur,17.1442,80.805,2.75,postmonsoon 2018 ,8.22,922,590.08,0,174.4241532,130,0.73,95.2235,21,103.5167455,0.5,32,38.896,239.9342105,2.905605748,C3S1,-1.310201147,P.S.
109,KHAMMAM,Yerrupalem,Banigandlapadu,16.86,80.48,16.1,postmonsoon 2018 ,7.75,967,618.88,0,388.2618294,20,1.19,64.2205,10,22.00807446,0.5,32,87.516,439.8519737,0.456247963,C3S1,-1.031802885,P.S.
110,KUMURAM BHEEM,Asifabad,Asifabad,19.359617,79.286065,20.3,postmonsoon 2018 ,7.98,1285,822.4,0,420,70,1.42,28.98981818,125,200,2,24,43.758,239.9259868,5.613885037,C3S1,3.601480263,U.S.
111,KUMURAM BHEEM,Kagaznagar,Kagaznagar,19.355709,79.496997,4.2,postmonsoon 2018 ,8.02,612,391.68,0,160,40,1.04,53.34931818,59,74,2,24,24.31,159.9588816,2.543898061,C2S1,0.000822368,P.S.
112,KUMURAM BHEEM,Kerameri,Kerameri,19.444,79.05625,9.58,postmonsoon 2018 ,7.48,702,449.28,0,230,40,0.3,54.55722727,32,84,2,48,14.586,179.9753289,2.722356283,C2S1,1.000493421,P.S.
