sno,district,mandal,village,lat_gis,long_gis,gwl,season,pH,EC,TDS,CO_-2 ,HCO_ - ,Cl -,F -,NO3- ,SO4-2,Na+,K+,Ca+2,Mg+2,T.H,SAR,Classification,RSC  meq  / L,Classification.1
12,BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,4.71,post monsoon 2019,8.7,510,326.4,30,230,10,0.8,0.4429,4,51.22,0.53,8,38.896,179.9342105,1.660178811,C2S1,1.601315789,MR
13,BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,4.23,post monsoon 2019,8.36,1887,1207.68,20,370,290,0.72,118.2543,43,197,1,32,106.964,519.8190789,3.756749891,C3S1,-2.596381579,P.S.
14,BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,12.3,post monsoon 2019,8.13,2880,1843.2,,520,390,0.55,417.6547,20,230,12.6,24,209.066,919.6463816,3.297536161,C4S1,-7.992927632,P.S.
15,BHADRADRI,Dummugudem,Bandirevu,17.92,80.92,2.2,post monsoon 2019,8.1,798,510.72,,270,70,0.96,13.86277,12,83,0.84,24,38.896,219.9342105,2.433345977,C3S1,1.001315789,P.S.
16,BHADRADRI,Gundala,Kanchanapalli,17.79,80.42,1.4,post monsoon 2019,8.27,793,507.52,,140,60,0.26,159.8869,14,17.04,70.39,72,19.448,259.9671053,0.459496868,C3S1,-2.399342105,P.S.
17,BHADRADRI,Julurpadu,P. Narsapuram,17.438169,80.520318,15.33,post monsoon 2019,8.11,4170,2668.8,,700,790,0.67,272.8264,34,532.4,18.8,48,189.618,899.6792763,7.717317222,C4S2,-3.993585526,P.S.
18,BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,2.09,post monsoon 2019,8.18,507,324.48,,170,50,1.01,0.4429,8,37.38,14.08,32,19.448,159.9671053,1.28497926,C2S1,0.200657895,P.S.
19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.573,80.619,3.88,post monsoon 2019,8.24,524,335.36,,100,30,0.29,150.586,13,35.31,7.69,48,19.448,199.9671053,1.085651912,C2S1,-1.999342105,P.S.
20,BHADRADRI,Manuguru,Pagideru,17.97,80.73,3.4,post monsoon 2019,8.51,503,321.92,30,160,40,0.55,4.11897,6,51.73,35.83,32,4.862,99.99177632,2.249222921,C2S1,1.800164474,MR
22,BHADRADRI,Tekulapalli,Bethampudi,17.56,80.45,2.62,post monsoon 2019,7.61,2410,1542.4,,310,390,0.39,343.2475,40,260.4,3.4,136,68.068,619.8848684,4.547342085,C4S2,-6.197697368,P.S.
23,BHADRADRI,Tekulapalli,Mutyalampadu,17.54,80.5,4.65,post monsoon 2019,8.1,1710,1094.4,,680,90,1.24,42.9613,20,263.8,11.4,8,72.93,320,6.41,C3S2,7.2,U.S.
24,BHADRADRI,Yellandu,Komararam,17.71,80.32,2.25,post monsoon 2019,8.48,433,277.12,30,130,30,3.06,24.04947,9,6.18,12.4,32,34.034,219.9424342,0.181178277,C2S1,-1.198848684,P.S.
25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),18.368545,79.853503,5.4,post monsoon 2019,7.93,390,249.6,0,80,30,0.26,20.93709091,61,43,8,24,9.724,99.98355263,1.869718983,C2S1,-0.399671053,P.S.
26,BHUPALPALLY,Kataram,Shankarampally 125(D),18.6022,79.8983,23.79,post monsoon 2019,8.28,442,282.88,0,150,30,0.34,24.3595,15,46,7,24,14.586,119.9753289,1.825929566,C2S1,0.600493421,P.S.
27,BHUPALPALLY,Mahadevpur,Ambatipalli,18.695678,80.061858,21.32,post monsoon 2019,8.14,540,345.6,0,140,40,0.23,60.19413636,26,53,14,24,19.448,139.9671053,1.947758208,C2S1,0.000657895,P.S.
28,BHUPALPALLY,Regonda,Regonda,18.24,79.7775,4.47,post monsoon 2019,7.9,1251,800.64,0,280,140,1.2,95.62613636,98,135,6,64,48.62,359.9177632,3.093885891,C3S1,-1.598355263,P.S.
29,HYDERABAD,Ameerpet,S.R.Nagar,17.442333,78.443916,19.1,post monsoon 2019,7.62,872,558.08,,270,80,0.78,29.49714,13,72,27,48,29.172,239.9506579,2.020894714,C3S1,0.600986842,P.S.
30,HYDERABAD,Asifnagar,Himayanagar,17.397638,78.44525,2.1,post monsoon 2019,7.8,1116,714.24,,370,120,0.77,39.19665,21,79,0.96,112,38.896,439.9342105,1.637590792,C3S1,-1.398684211,P.S.
31,HYDERABAD,Asifnagar,Kulsanapur,17.374,78.437,5.94,post monsoon 2019,7.94,814,520.96,,280,90,0.67,29.40856,13,72,26,40,38.896,259.9342105,1.941658908,C3S1,0.401315789,P.S.
32,HYDERABAD,Bandlaguda,Chandraingutta,17.333,78.484,10.35,post monsoon 2019,7.7,339,216.96,,110,60,0.16,3.49891,9,29,2.43,32,14.586,139.9753289,1.065723184,C2S1,-0.599506579,P.S.
33,HYDERABAD,Charminar,Darul Shifa,17.381,78.485,5.3,post monsoon 2019,7.55,854,546.56,,290,80,0.68,29.27569,12,72,25.76,64,24.31,259.9588816,1.94156677,C3S1,0.600822368,P.S.
34,HYDERABAD,Maredpally,Maredpally(s),17.441,78.509,9.58,post monsoon 2019,7.22,1489,952.96,,220,180,1.31,191.3328,35,87,1.42,144,38.896,519.9342105,1.658888588,C3S1,-5.998684211,P.S.
35,HYDERABAD,Nampally,Nampally,17.385,78.474,2.05,post monsoon 2019,7.83,868,555.52,,300,80,0.79,31.09158,12,72,25.73,48,38.896,279.9342105,1.871012428,C3S1,0.401315789,P.S.
36,HYDERABAD,Saidabad,Juvinile home,17.361,78.508,3.86,post monsoon 2019,8.45,809,517.76,20,200,80,0.5,77.0646,15,70,10.97,72,19.448,259.9671053,1.887604504,C3S1,-0.799342105,P.S.
37,JAGITYAL,Dharmapuri,Dharmapuri,18.946944,79.101944,3.17,post monsoon 2019,7.16,3034,1941.76,0,370,670,0.64,29.19113636,381,523,47,152,53.482,599.9095395,9.283911009,C4S3,-4.598190789,P.S.
38,JAGITYAL,Gollapalli,Gollapalli,18.7906,79.0522,2.95,post monsoon 2019,7.5,864,552.96,0,240,110,0.95,59.7915,99,97,6,80,34.034,339.9424342,2.287395215,C3S1,-1.998848684,P.S.
39,JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,18.898611,78.579444,3.15,post monsoon 2019,7.25,812,519.68,0,270,100,0.51,61.80468182,118,74,1,64,68.068,439.8848684,1.534031834,C3S1,-3.397697368,P.S.
40,JAGITYAL,Jagityal,Jagityal,18.8252,78.8461,6.97,post monsoon 2019,7.3,1442,922.88,0,540,130,2.05,13.08568182,136,231,6,40,72.93,399.8766447,5.022513632,C3S1,2.802467105,U.S.
41,JAGITYAL,Kathalapur,Kathalapur,18.752777,78.689722,3.76,post monsoon 2019,8.11,1197,766.08,0,480,130,1.84,7.851409091,76,138,9,24,111.826,519.8108553,2.63165272,C3S1,-0.796217105,P.S.
42,JAGITYAL,Kodimal,Chepial,18.624722,78.935833,6.28,post monsoon 2019,7.9,982,628.48,0,370,80,1.98,12.68304545,65,54,2,72,82.654,519.8601974,1.02972828,C3S1,-2.997203947,P.S.
43,JAGITYAL,Korutla,Korutla,18.818611,78.706388,4.4,post monsoon 2019,7.44,388,248.32,0,120,30,0.41,5.636909091,63,66,4,32,4.862,99.99177632,2.869683217,C2S1,0.400164474,P.S.
44,JAGITYAL,Mallapur,Mallapur,18.9647,78.7064,5.71,post monsoon 2019,7.32,1001,640.64,0,250,120,0.96,6.240863636,118,93,5,96,34.034,379.9424342,2.074417713,C3S1,-2.598848684,P.S.
45,JAGITYAL,Mallial,Nukapalli,18.7094,78.9222,5.61,post monsoon 2019,7.28,2744,1756.16,0,190,650,0.33,60.79809091,311,156,5,312,87.516,1139.851974,2.008965759,C4S1,-18.99703947,P.S.
46,JAGITYAL,Metpalli,Metpalli,18.847777,78.620555,13.53,post monsoon 2019,8.09,1108,709.12,0,410,110,1.58,24.3595,138,224,1,32,63.206,339.8930921,5.282615645,C3S1,1.402138158,MR
47,JAGITYAL,Pegadapalli,Pegadapalli,18.706388,79.064444,2.75,post monsoon 2019,7.08,1289,824.96,0,300,160,0.95,141.3253636,141,168,5,80,72.93,499.8766447,3.267006681,C3S1,-3.997532895,P.S.
48,JAGITYAL,Raikal,Raikal,18.910338,78.802852,1.56,post monsoon 2019,7.22,752,481.28,0,340,50,0.54,40.86759091,79,107,2,56,38.896,299.9342105,2.68622842,C3S1,0.801315789,P.S.
49,JAGITYAL,Sarangapur,Sarangapur,18.929722,78.958055,3.21,post monsoon 2019,8.08,875,560,0,480,50,1.85,32.21090909,44,104,7,40,72.93,399.8766447,2.261218259,C3S1,1.602467105,MR
50,JAGITYAL,Velgatur,Velgatur,18.8353,79.1697,3.14,post monsoon 2019,8.16,1118,715.52,0,530,130,2.77,35.83463636,120,225,5,32,72.93,379.8766447,5.019187102,C3S1,3.002467105,U.S.
51,JANGAON,Bachannapet,Bachannapet,17.7908,79.0422,4.4,post monsoon 2019,8.03,509,325.76,0,160,30,0.35,8.455363636,39,41,2,32,19.448,159.9671053,1.409420804,C2S1,0.000657895,P.S.
52,JANGAON,Devaruppula,Singarajupalli,17.5919,79.2738,5.11,post monsoon 2019,8.24,1325,848,0,220,200,0.68,157.0281818,99,123,5,48,82.654,459.8601974,2.493815757,C3S1,-4.797203947,P.S.
53,JANGAON,Jangaon,Jangaon,17.6973,79.1474,2.28,post monsoon 2019,8.13,1179,754.56,0,220,150,0.75,106.6986364,106,133,3,64,43.758,339.9259868,3.136401273,C3S1,-2.398519737,P.S.
54,JANGAON,Lingala ghanpur,Lingala ghanpur,17.6591,79.1997,9.06,post monsoon 2019,8.24,1568,1003.52,0,210,200,0.43,195.2786364,136,209,51,96,9.724,279.9835526,5.430654706,C3S1,-1.399671053,P.S.
55,JANGAON,Palakurthi,Palakurthi,17.6691,79.4225,12.67,post monsoon 2019,8.26,508,325.12,0,160,30,0.72,20.53445455,41,46,18,16,24.31,139.9588816,1.690556788,C2S1,0.400822368,P.S.
56,JANGAON,Raghunadhapalli,Raghunadhapalli,17.7647,79.2636,7.98,post monsoon 2019,8.31,1242,794.88,60,330,110,1.26,33.01618182,97,171,5,24,58.344,299.9013158,4.293179914,C3S1,1.801973684,MR
57,JANGAON,Zafergad,Zafergad,17.7651,79.487,7.09,post monsoon 2019,8.27,1666,1066.24,0,300,230,0.47,58.38227273,174,231,10,24,68.068,339.8848684,5.447763288,C3S1,-0.797697368,P.S.
58,JOGULAMBA(GADWAL),Alampur,Alampur,15.896441,78.121104,2.45,post monsoon 2019,8.08,2950,1888,,260,610,2.27,93.009,71,561,7.8,40,19.448,179.9671053,18.18186629,C4S3,1.600657895,MR
59,JOGULAMBA(GADWAL),Dharoor,Dharoor,16.224385,77.678908,15,post monsoon 2019,7.72,2080,1331.2,,220,430,0.38,120.20306,45,105,6.1,120,121.55,799.7944079,1.614255525,C3S1,-11.59588816,P.S.
60,JOGULAMBA(GADWAL),Dharoor,Neelahally,16.265211,77.641794,9.43,post monsoon 2019,9.01,1030,659.2,100,250,130,1.28,11.64827,16,104,22,48,48.62,319.9177632,2.528053881,C3S1,0.601644737,P.S.
61,JOGULAMBA(GADWAL),Gadwal,Gadwal,16.2326,77.8021,2.8,post monsoon 2019,8.08,2714,1736.96,,280,590,0.73,35.34342,103,199,1.8,120,145.86,899.7532895,2.884453345,C4S1,-12.39506579,P.S.
62,JOGULAMBA(GADWAL),Gattu,Gattu,16.1287,77.5757,2.09,post monsoon 2019,7.83,753,481.92,,160,100,0.64,76.1788,16,42,0.73,88,19.448,299.9671053,1.054349602,C3S1,-2.799342105,P.S.
63,JOGULAMBA(GADWAL),Ieeza,Ieeza,16.01518,77.671609,20.48,post monsoon 2019,8.38,2016,1290.24,20,770,130,2.62,20.94917,27,363,3.5,24,38.896,219.9342105,10.64222397,C3S2,11.40131579,U.S.
64,JOGULAMBA(GADWAL),K-T Doddi,Kondapur,16.0701,77.8315,3.5,post monsoon 2019,8,1796,1149.44,,160,310,0.29,241.07047,25,66,1.08,224,29.172,679.9506579,1.100467954,C3S1,-10.39901316,P.S.
65,JOGULAMBA(GADWAL),K-T Doddi,Kuchinerla,16.179,77.526,7.29,post monsoon 2019,8.75,484,309.76,40,130,50,0.38,5.53625,13,46,2.03,40,14.586,159.9753289,1.581260745,C2S1,0.200493421,P.S.
66,JOGULAMBA(GADWAL),Maldakal,Maldakal,16.129667,77.687599,2.02,post monsoon 2019,7.83,1601,1024.64,,290,260,0.29,115.95122,17,56,5.1,200,34.034,639.9424342,0.962475618,C3S1,-6.998848684,P.S.
67,JOGULAMBA(GADWAL),Manopad,Manopad,15.9656,77.9533,7.32,post monsoon 2019,7.73,4534,2901.76,,550,800,0.84,168.21342,176,610,0.9,144,126.412,879.7861842,8.94156278,C4S2,-6.595723684,P.S.
68,JOGULAMBA(GADWAL),Waddepalli,Santhinagar,15.94,77.839,1.29,post monsoon 2019,8.33,2898,1854.72,10,340,490,0.85,85.30254,163,395,14.4,56,97.24,539.8355263,7.391601223,C4S2,-3.796710526,P.S.
69,KAMAREDDY,Bansawada,Bansawada,18.393,77.879,3.75,post monsoon 2019,7.97,1544,988.16,,480,90,4.61,143.0567,31.25,36,1.4,24,155.584,699.7368421,0.5917078,C3S1,-4.394736842,P.S.
70,KAMAREDDY,Bhiknoor,Bhiknoor,18.196,78.399,9.74,post monsoon 2019,7.24,1396,893.44,,370,170,1.75,74.8501,13.5,96.42,3.22,80,68.068,479.8848684,1.913686367,C3S1,-2.197697368,P.S.
71,KAMAREDDY,Bhiknoor,P.D.Mallareddy,18.173,78.453,25.25,post monsoon 2019,7.16,997,638.08,,270,90,1.11,79.2791,7.5,57.48,1.69,40,63.206,359.8930921,1.31735301,C3S1,-1.797861842,P.S.
73,KAMAREDDY,BICHKUNDA,Pulkal,18.399,77.767,1.07,post monsoon 2019,7.45,1289,824.96,,200,250,0.84,35.8749,30.5,43.2,4.53,120,58.344,539.9013158,0.808348651,C3S1,-6.798026316,P.S.
74,KAMAREDDY,Domakonda,Domakonda,18.25,78.436,24.12,post monsoon 2019,7.5,1250,800,,230,220,0.85,40.7468,11,77.39,3.66,80,53.482,419.9095395,1.642022637,C3S1,-3.798190789,P.S.
75,KAMAREDDY,Gandhari,Gandhari,18.396,78.107,6.37,post monsoon 2019,7.82,669,428.16,,210,60,0.72,30.73726,9,16,2.36,48,43.758,299.9259868,0.401684523,C2S1,-1.798519737,P.S.
76,KAMAREDDY,Gandhari,Sarvapoor,18.3647,77.9851,7.63,post monsoon 2019,7.64,1565,1001.6,,320,200,1.43,187.7896,19.75,160,2.9,72,63.206,439.8930921,3.316794584,C3S1,-2.397861842,P.S.
77,KAMAREDDY,Jukkal,Jukkal,18.364,77.604,7.32,post monsoon 2019,7.83,2580,1651.2,,480,500,1.81,16.3873,51.25,283,31.9,40,126.412,619.7861842,4.942397303,C4S1,-2.795723684,P.S.
78,KAMAREDDY,Kamareddy,Adloor,18.3438,78.3435,17.5,post monsoon 2019,7.57,635,406.4,,230,40,2.03,26.35255,12.5,48.36,2.02,32,34.034,219.9424342,1.417763994,C2S1,0.201151316,P.S.
79,KAMAREDDY,Kamareddy,Narasannapally,18.2686,78.3617,13.1,post monsoon 2019,7.19,1239,792.96,,190,240,1.69,53.148,20,50,3.15,136,38.896,499.9342105,0.972267436,C3S1,-6.198684211,P.S.
80,KAMAREDDY,Lingampet,Bhavanipet,18.2791,78.058,4.41,post monsoon 2019,6.92,1356,867.84,,340,120,1.14,159.444,18,95.04,3.05,80,63.206,459.8930921,1.926859943,C3S1,-2.397861842,P.S.
81,KAMAREDDY,Machareddy,Machareddy,18.329,78.493,9.19,post monsoon 2019,7.14,1450,928,,220,280,0.61,94.7806,19.25,57.52,1.86,72,102.102,599.8273026,1.02112269,C3S1,-7.596546053,P.S.
82,KAMAREDDY,Maddnur,Menoor,18.483,77.652,5.01,post monsoon 2019,7.51,1036,663.04,,230,170,0.39,17.14023,16,40.2,4.5,80,53.482,419.9095395,0.852943662,C3S1,-3.798190789,P.S.
83,KAMAREDDY,Nagireddipet,Malthummeda,18.114,78.142,13.61,post monsoon 2019,8.04,950,608,,350,70,1.48,26.30826,10,71.14,2.53,48,53.482,339.9095395,1.677661539,C3S1,0.201809211,P.S.
84,KAMAREDDY,Nasurullabad,Nasurullabad,18.468,77.873,1.06,post monsoon 2019,7.62,770,492.8,,220,80,1.35,10.05383,15,62.69,1.32,56,24.31,239.9588816,1.759551648,C3S1,-0.399177632,P.S.
85,KAMAREDDY,Nizamsagar,Mohammadnagar,18.293098,77.908661,2.7,post monsoon 2019,7.24,2480,1587.2,,290,390,1.53,393.7381,37.5,29.37,5.4,128,213.928,1199.638158,0.368681185,C4S1,-18.19276316,P.S.
86,KAMAREDDY,Rajampet,Argonda,18.234,78.272,3.8,post monsoon 2019,7.15,710,454.4,,340,20,1.25,0.93009,8,47.84,1.45,64,29.172,279.9506579,1.243147293,C2S1,1.200986842,P.S.
87,KAMAREDDY,RAMAREDDY,Reddypet,18.409,78.417,4.65,post monsoon 2019,7.18,423,270.72,,120,50,0.64,8.32652,5,32.19,1.6,40,9.724,139.9835526,1.182917986,C2S1,-0.399671053,P.S.
88,KAMAREDDY,Sadasivanagar,Sadasivanagar,18.406,78.264,2.35,post monsoon 2019,7.43,654,418.56,,220,40,1.65,32.7746,6,27.81,2.19,80,14.586,259.9753289,0.749906442,C2S1,-0.799506579,P.S.
89,KAMAREDDY,Tadwai,Yerrapahad,18.293,78.223,1.09,post monsoon 2019,6.83,1392,890.88,,260,230,0.32,103.1957,21.75,40,0.64,104,87.516,619.8519737,0.698534984,C3S1,-7.197039474,P.S.
90,KARIMNAGAR,Choppadandi,Rukmapur,18.5334,79.1461,6.85,post monsoon 2019,7.54,480,307.2,0,130,30,0.29,22.145,57,48,5,32,14.586,139.9753289,1.763955614,C2S1,-0.199506579,P.S.
91,KARIMNAGAR,Gangadhara,Gangadhara,18.579444,79.008888,11.49,post monsoon 2019,7.68,941,602.24,0,250,120,1.13,23.75554545,69,95,6,48,43.758,299.9259868,2.385001854,C3S1,-0.998519737,P.S.
92,KARIMNAGAR,Huzurabad,Huzurabad,18.189488,79.407573,0.36,post monsoon 2019,7.77,710,454.4,0,160,100,1.03,41.87418182,47,71,10,48,24.31,219.9588816,2.081420182,C2S1,-1.199177632,P.S.
93,KARIMNAGAR,Saidapur,Saidapur,18.2148,79.305174,4.05,post monsoon 2019,8.54,1286,823.04,50,210,150,1.6,81.73518182,136,152,11,72,38.896,339.9342105,3.58441524,C3S1,-1.598684211,P.S.
94,KARIMNAGAR,Thimmapur,Alugunur,18.400873,79.151234,1.6,post monsoon 2019,7.68,752,481.28,0,190,70,0.86,21.54104545,85,88,5,40,24.31,199.9588816,2.705730185,C3S1,-0.199177632,P.S.
95,KHAMMAM,Bonakal,Mustikunta,17.040809,80.223141,0.9,post monsoon 2019,7.42,2290,1465.6,,450,320,0.67,227.2077,59,147,5.6,200,87.516,859.8519737,2.179604282,C4S1,-8.197039474,P.S.
96,KHAMMAM,Kallur,Kallur,17.21,80.5467,3.55,post monsoon 2019,7.43,1414,904.96,,430,160,0.98,73.0785,26,96,1.76,112,63.206,539.8930921,1.796344016,C3S1,-2.197861842,P.S.
97,KHAMMAM,Kamepalli,Kothalingala,17.429453,80.237801,2.8,post monsoon 2019,7.78,2340,1497.6,,580,280,0.71,211.2633,33,231,5.5,152,72.93,679.8766447,3.851847484,C4S1,-1.997532895,P.S.
98,KHAMMAM,Khammam (R ),M.V.Palem,17.2967,80.0969,3.5,post monsoon 2019,7.82,2420,1548.8,,460,280,0.99,366.7212,53,173,8.5,176,97.24,839.8355263,2.595500675,C4S1,-7.596710526,P.S.
99,KHAMMAM,Khammam(U),Khammam I,17.2333,80.1333,0.4,post monsoon 2019,7.3,771,493.44,,270,60,1.27,26.75116,14,75,3.8,64,19.448,239.9671053,2.105026517,C3S1,0.600657895,P.S.
100,KHAMMAM,Khammam(U),Khammam-II,17.2525,80.1436,0.95,post monsoon 2019,7.28,826,528.64,,290,70,1.25,31.4459,17,81,3.9,64,24.31,259.9588816,2.184262617,C3S1,0.600822368,P.S.
101,KHAMMAM,Konijerla,Konijerla,17.2211,80.2908,1.35,post monsoon 2019,7.77,1235,790.4,,360,140,0.87,68.6495,21,70.5,0.4,96,68.068,519.8848684,1.344335578,C3S1,-3.197697368,P.S.
102,KHAMMAM,Kusumanchi,Kusumanchi,17.2208,79.9583,6.25,post monsoon 2019,7.35,350,224,,110,40,0.27,4.16326,10,29,2.6,32,9.724,119.9835526,1.151090059,C2S1,-0.199671053,P.S.
103,KHAMMAM,Mudigonda,Mudigonda,17.1875,80.0986,0.3,post monsoon 2019,7.38,1126,720.64,,360,130,0.5,26.574,19,55,11.8,96,53.482,459.9095395,1.115061047,C3S1,-1.998190789,P.S.
104,KHAMMAM,Sathupalli,Prakashnagar,17.1942,80.8942,38.85,post monsoon 2019,7.13,610,390.4,,180,70,0.53,25.82107,19,29.16,1.3,64,24.31,259.9588816,0.786334542,C2S1,-1.599177632,P.S.
105,KHAMMAM,Thallada,Anjanapuram,17.2147,80.4625,2.13,post monsoon 2019,7.93,1120,716.8,,360,120,0.62,13.41987,29,118.5,1.4,64,38.896,319.9342105,2.880448889,C3S1,0.801315789,P.S.
106,KHAMMAM,Thirumalayapalem,Bachode,17.2997,79.9006,2.4,post monsoon 2019,7.77,962,615.68,,390,60,1,1.55015,20,75,6.63,88,29.172,339.9506579,1.768583156,C3S1,1.000986842,P.S.
107,KHAMMAM,Thirumalayapalem,Tirumalayapalem,17.317454,80.050896,1.65,post monsoon 2019,7.55,3120,1996.8,,420,500,1.52,420.755,34,212,7.5,192,150.722,1099.745066,2.779470147,C4S1,-13.59490132,P.S.
108,KHAMMAM,Vemsur,Vemsur,17.1442,80.805,1.65,post monsoon 2019,7.35,1465,937.6,,350,180,0.73,91.2374,25,87.2,0.6,136,43.758,519.9259868,1.662715275,C3S1,-3.398519737,P.S.
109,KHAMMAM,Yerrupalem,Banigandlapadu,16.86,80.48,9.85,post monsoon 2019,7.76,1305,835.2,,390,50,1.04,240.9376,25,41.3,0.6,80,97.24,599.8355263,0.733172427,C3S1,-4.196710526,P.S.
110,KUMURAM BHEEM,Asifabad,Asifabad,19.359617,79.286065,17.77,post monsoon 2019,7.85,928,593.92,0,440,20,1.75,2.617136364,92,135,5,48,38.896,279.9342105,3.508148302,C3S1,3.201315789,U.S.
111,KUMURAM BHEEM,Kagaznagar,Kagaznagar,19.355709,79.496997,2.66,post monsoon 2019,7.61,818,523.52,0,280,40,0.84,43.48472727,73,55,3,128,9.724,359.9835526,1.260356844,C3S1,-1.599671053,P.S.
112,KUMURAM BHEEM,Kerameri,Kerameri,19.444,79.05625,9.25,post monsoon 2019,7.23,878,561.92,0,340,40,0.27,45.09527273,41,40,3,80,43.758,379.9259868,0.892241985,C3S1,-0.798519737,P.S.
113,KUMURAM BHEEM,Kowthala,Kowthala,19.5219,79.7324,3.42,post monsoon 2019,7.3,457,292.48,0,200,20,0.29,25.36609091,37,27,3,40,34.034,239.9424342,0.757848504,C2S1,-0.798848684,P.S.
114,KUMURAM BHEEM,Rebbena,Rebbena II,19.257,79.415972,5.75,post monsoon 2019,7.24,627,401.28,0,270,40,0.78,21.94368182,40,68,2,72,19.448,259.9671053,1.833672946,C2S1,0.200657895,P.S.
115,KUMURAM BHEEM,Tiryani,Tiryani,19.174472,79.27225,8.9,post monsoon 2019,7.18,795,508.8,0,380,50,0.69,15.90413636,36,74,49,80,19.448,279.9671053,1.922872021,C3S1,2.000657895,MR
116,MAHABUBABAD,Dhantalapally,Dhantalapally,17.5147,79.7347,1.39,post monsoon 2019,8.29,891,570.24,0,190,130,0.63,45.09527273,85,98,6,48,38.896,279.9342105,2.546655804,C3S1,-1.798684211,P.S.
117,MAHABUBABAD,Dornakal,Mannegudem,17.374115,80.043883,4.72,post monsoon 2019,8.59,885,566.4,50,270,70,3.27,22.34631818,54,92,2,56,38.896,299.9342105,2.309654342,C3S1,0.401315789,P.S.
118,MAHABUBABAD,Kesamudram,Kesamudram,17.6816,79.9069,2.4,post monsoon 2019,8.31,1545,988.8,20,290,180,0.64,141.728,137,164,6,72,68.068,459.8848684,3.324998486,C3S1,-2.997697368,P.S.
119,MAHABUBABAD,Koravi,Ayyagaripally,17.503,79.9886,2.41,post monsoon 2019,8.3,634,405.76,20,180,60,2.78,4.630318182,56,70,2,32,29.172,199.9506579,2.152329634,C2S1,0.000986842,P.S.
120,MAHABUBABAD,Mahabubabad,Mahabubabad,17.5983,80.0011,2.39,post monsoon 2019,8.33,910,582.4,40,200,80,3.16,44.08868182,109,104,4,48,38.896,279.9342105,2.702573507,C3S1,-0.798684211,P.S.
121,MAHABUBABAD,Marripeda,Marripeda,17.3852,79.8941,5.55,post monsoon 2019,8.31,1268,811.52,20,270,150,1.93,43.68604545,137,136,8,64,53.482,379.9095395,3.033688414,C3S1,-1.798190789,P.S.
